v1;v2;v3
14,2;278,3;1881,9
10,8;284;3369,8
9,5;312,3;4467,4
8,8;203,4;1862,1
11,5;358;3499,8
6,3;292,9;3903,2
4,2;131,8;2620,7
6;194,2;3678,4
10,2;449,1;3840,5
11,7;256,5;2170,2
7,2;64,1;3920,4
5,5;172,5;2599,6
9,9;209;2828,5
7,4;153,5;2498,7
2,3;89,8;2685,1
6,6;180,5;2739,3
10,1;123,3;1662,1
15,5;335,5;2469,9
2,4;170;2350,7
8;358,9;3177,7
3,1;231,6;2311,3
9,3;274,6;3159
2,7;85,8;2559,3
14,3;189,1;1239,9
9,6;233,5;2424,2
5,4;156,8;2773,2
3,9;112,7;2316,1
15,8;355;4212,6
3,2;76;2343,9
5,6;185,1;2774,5
8,8;343,4;3008,6
10,7;319,1;2782
10,6;318,3;2037,8
,9;43,8;1843
7,8;181,1;2696,8
8,6;205;2228,1
4,9;286,9;3506,1
5,6;128;1624,1
3,6;201;2844,1
11,9;485,3;2342,4
2;155,7;1704,4
10,1;203,9;1776,5
13,3;208,2;2988,7
3,5;147,3;3004,6
1,4;101,2;2201
9;165,7;2521,2
4,3;224,8;3386,9
6;90,9;1341,7
2,8;63,7;2614,2
5,4;173,9;2772,2
